Job Title,Company Name,Location,Skills/Description,Job Link
Data Analyst | Al-Futtaim Automotive | Logistics,Data Analyst | AlFuttaim Automotive | Logistics,"Dubai,United Arab Emirates","· management, · automotive, · retail, · construction",https://wuzzuf.net/jobs/p/g/cam8nou3n8u4-data-analyst-al-futtaim-automotive-logistics-al-futtaim-automotive-alftym-llsyarat-dubai-united-arab-emirates
Forecast & Planning(F&P) Analyst,Forecast & Planning(F&P) Analyst,"New Cairo,Cairo,Egypt","· Cost Control, · Budgeting, · Microsoft Excel, · Reporting Analysis",https://wuzzuf.net/jobs/p/mm1pw9wr9zoc-forecast-planningfp-analyst-leap-development-hub-cairo-egypt
Data Analyst – Business Intelligence & Reporting,Data Analyst – Business Intelligence & Reporting,"Riyadh,Saudi Arabia","· Business Intelligence, · Engineering, · Analysis, · BI",https://wuzzuf.net/saudi/jobs/p/g/9cfco6hl0es9-data-analyst-business-intelligence-reporting-confidential-government-riyadh-saudi-arabia
Data Analyst (0 Experience Required),Data Analyst (0 Experience Required),"Riyadh,Saudi Arabia","· Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",https://wuzzuf.net/saudi/jobs/p/g/wndccbf1l8o6-data-analyst-0-experience-required-peroptyx-riyadh-saudi-arabia
Junior Industrial Application Support Analyst (Outsource),Junior Industrial Application Support Analyst (Outsource),"Ameria,Alexandria,Egypt","· IT Helpdesk, · Team Collaboration, · Process Documentation, · System Monitoring",https://wuzzuf.net/jobs/p/y9fga3jyzgjn-junior-industrial-application-support-analyst-outsource-prometeon-tyres-group-egypt-alexandria-egypt
Procurement Analyst,Procurement Analyst,"San Stefano,Alexandria,Egypt","Operations/Management, · Business English, · Strong communication skills, · Microsoft Office",https://wuzzuf.net/jobs/p/qj4g6zwhsezj-procurement-analyst-guillam-alexandria-egypt
Q.C Senior Finished Product Analyst,Q.C Senior Finished Product Analyst,"Badr City,Cairo,Egypt","· Pharma, · Q.C, · Pharmaceuticals, · Pharmacy",https://wuzzuf.net/jobs/p/n0idsirozp88-qc-senior-finished-product-analyst-apex-pharma-cairo-egypt
Data & AI Analyst - Emiratization & UAE Talent Development | Strategy & Consulting,Data & AI Analyst  Emiratization & UAE Talent Development | Strategy & Consulting,"Dubai,United Arab Emirates","· Administration, ·, Data Analysis, · Software Development",https://wuzzuf.net/jobs/p/g/mgjcqpipa8gq-data-ai-analyst-emiratization-uae-talent-development-strategy-consulting-accenture-middle-east-dubai-united-arab-emirates
Quality Assurance Analyst,Quality Assurance Analyst,"Maadi,Cairo,Egypt","· Information Technology (IT), · DevOps, · Software Testing, · Manual Testing",https://wuzzuf.net/jobs/p/xcdcvnrrcl2l-quality-assurance-analyst-daam-cairo-egypt
Data Analyst,Data Analyst,"Riyadh,Saudi Arabia","· Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",https://wuzzuf.net/saudi/jobs/p/g/o2yeqastpbm0-data-analyst-norconsult-telematics-riyadh-saudi-arabia
Technical Quality Assurance Analyst,Technical Quality Assurance Analyst,"Maadi,Cairo,Egypt","· Quality Assurance, · Information Technology (IT), · PostgreSQL, · MySQL",https://wuzzuf.net/jobs/p/43ooe8kkv2ym-technical-quality-assurance-analyst-daam-cairo-egypt
